Season,Day_of_the_week,DHI,DNI,GHI,Wind_speed,Humidity,Temperature,PV_production,Wind_production
1,2,7.0,0.0,7.0,2.18,78.842,10.82,1354,1936
1,0,63.8,742.4,299.6,2.7,53.874,6.26,7997,836
2,1,95.8,638.8,428.6,7.04,48.578,16.68,8814,3827
1,2,139.8,9.2,145.4,5.2,65.578,12.24,3625,2662
1,0,0.0,0.0,0.0,3.34,75.216,1.94,0,3727
1,0,68.4,564.2,217.6,1.88,56.502,14.92,592,183
1,0,12.4,86.8,19.6,0.98,59.74,16.46,4016,303
1,2,55.2,854.2,363.6,2.34,40.25,9.44,7986,416
1,3,0.0,0.0,0.0,2.1,69.266,4.46,0,1437
1,1,160.6,294.0,343.6,3.66,63.066,14.06,4280,1444
1,3,162.2,73.8,197.8,5.56,74.646,13.42,2929,2131
1,2,54.0,415.4,156.8,1.34,64.102,12.7,2349,146
1,5,84.8,777.4,420.0,2.54,43.672,18.28,10047,774
1,0,179.4,322.0,365.8,5.98,64.356,10.2,6167,2108
2,1,0.0,0.0,0.0,2.14,75.588,10.82,1,3973
2,4,0.0,0.0,0.0,1.24,70.538,15.0,9,1602
1,6,0.0,0.0,0.0,1.32,59.124,11.14,0,691
1,6,131.4,569.4,432.0,2.52,56.338,11.5,4501,1439
1,4,0.0,0.0,0.0,2.28,58.11,7.5,1,509
1,6,0.0,0.0,0.0,1.52,75.844,7.28,0,376
1,4,0.0,0.0,0.0,4.26,79.612,11.2,122,1899
1,6,122.8,430.2,315.2,2.56,74.59,13.36,5936,1884
2,5,46.2,341.2,101.2,1.68,61.142,18.4,6054,3264
2,5,0.0,0.0,0.0,1.68,67.422,10.72,0,1193
1,6,0.0,0.0,0.0,0.92,60.896,13.5,90,349
2,3,0.0,0.0,0.0,1.52,65.964,13.46,0,922
1,2,94.6,428.0,261.2,3.68,61.902,14.42,4451,1478
2,3,0.0,0.0,0.0,1.48,66.342,13.34,0,949
2,6,125.6,449.4,301.0,3.4,51.238,20.14,7763,3504
1,2,0.0,0.0,0.0,2.34,66.536,3.0,0,3270
1,6,0.0,0.0,0.0,2.52,81.664,9.58,21,2564
2,4,272.2,412.8,655.2,2.92,47.504,21.32,7154,801
1,6,0.0,0.0,0.0,1.32,61.818,10.96,0,584
2,2,0.0,0.0,0.0,1.68,66.514,16.8,120,2960
1,4,45.2,735.0,216.6,2.02,46.71,11.48,5741,375
2,3,2.8,30.6,4.0,1.52,57.554,20.0,1967,475
2,6,111.0,915.6,829.8,4.24,47.474,19.76,7280,3952
1,3,85.6,527.8,277.4,2.48,68.838,11.12,6869,1997
1,2,0.0,0.0,0.0,1.5,56.482,6.02,24,610
1,3,46.0,726.4,223.0,2.66,57.884,11.12,5823,433
2,1,12.4,91.0,20.8,3.62,68.93,16.98,2535,4701
1,2,0.0,0.0,0.0,1.08,70.246,12.14,2,196
1,4,185.2,559.6,622.8,2.78,55.088,15.72,10123,2013
1,0,0.0,0.0,0.0,2.68,68.282,7.88,0,926
2,4,147.6,878.8,914.8,2.62,43.136,22.22,10113,211
1,0,0.0,0.0,0.0,0.8,60.916,12.88,11,155
1,5,0.0,0.0,0.0,1.82,66.766,6.16,10,1197
1,4,0.0,0.0,0.0,2.04,61.036,6.18,0,443
2,0,64.6,263.6,161.4,3.88,60.028,17.72,5503,3080
1,2,0.0,0.0,0.0,2.02,81.864,10.04,22,2622
1,6,0.0,0.0,0.0,2.34,82.706,9.2,21,2741
2,6,168.4,722.0,758.0,4.18,42.882,20.8,7015,3635
2,4,120.4,287.2,324.4,3.4,65.848,15.22,8241,2819
1,2,0.0,0.0,0.0,3.16,76.97,4.88,17,1392
1,2,27.0,204.0,58.2,4.72,82.506,10.74,809,1186
2,6,160.8,512.0,427.6,4.28,43.85,20.14,7543,3816
2,5,0.0,0.0,0.0,3.1,73.67,13.86,2,3821
2,3,19.6,123.2,28.0,1.42,67.874,14.3,0,727
2,3,39.8,58.2,47.6,2.78,67.712,14.62,2818,2167
2,0,0.0,0.0,0.0,1.9,77.114,11.98,0,3025
1,3,174.8,607.6,579.2,2.78,52.388,14.02,7493,1842
1,0,0.0,0.0,0.0,0.84,61.95,13.16,11,170
1,5,88.4,633.2,408.8,2.44,56.808,13.72,4324,542
2,0,148.2,595.4,546.2,2.32,50.942,21.3,6645,948
1,1,49.0,141.0,66.2,1.82,67.402,14.7,4233,1451
2,5,155.0,528.2,449.8,1.84,48.828,19.64,7252,2615
1,1,41.0,14.4,43.6,4.12,70.194,11.74,1016,1492
1,6,0.0,0.0,0.0,1.32,63.08,10.46,0,403
2,1,0.0,0.0,0.0,2.56,84.326,11.1,0,2962
1,1,0.0,0.0,0.0,1.64,78.07,7.08,0,1528
